,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP_per_G,PTS_per_G,TRB_per_G,AST_per_G,WS,WS_per_48,BPM
802,2003,HOU,Malick Badiane,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
803,2003,CHI,Matt Bonner,University of Florida,12.0,792,13356,4632,2371,552,0,0.414,0.78,16.9,5.8,3.0,0.7,38.5,0.138,1.0,10.1
804,2003,DEN,Sani Becirovic,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
805,2003,UTA,Mo Williams,University of Alabama,13.0,818,23872,10759,2264,3990,0,0.37799999999999995,0.871,29.2,13.2,2.8,4.9,40.0,0.08,-0.5,8.9
806,2003,NOH,James Lang,,1.0,11,55,11,11,2,0,0.0,0.6,5.0,1.0,1.0,0.2,0.1,0.047,-4.0,0.0
807,2003,IND,James Jones,University of Miami,13.0,661,10717,3585,1239,352,0,0.39799999999999996,0.846,16.2,5.4,1.9,0.5,24.3,0.109,-0.5,4.0
808,2003,PHI,Paccelis Morlende,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
809,2003,NJN,Kyle Korver,Creighton University,13.0,964,25562,9617,3008,1767,0,0.429,0.879,26.5,10.0,3.1,1.8,61.6,0.11599999999999999,1.0,19.4
810,2003,TOR,Remon Van de Hare,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
811,2003,CHI,Tommy Smith,Arizona State University,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
812,2003,POR,Nedzad Sinanovic,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
813,2003,MIN,Rick Rickert,University of Minnesota,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
814,2003,BOS,Brandon Hunter,Ohio University,2.0,67,630,220,187,22,0,0.0,0.488,9.4,3.3,2.8,0.3,0.7,0.055,-5.4,-0.5
815,2003,DAL,Xue Yuyang,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
816,2003,DET,Andreas Glyniadakis,,1.0,13,81,17,8,1,0,0.0,0.5,6.2,1.3,0.6,0.1,-0.2,-0.14300000000000002,-12.1,-0.2
817,2004,ORL,Dwight Howard,,12.0,880,31092,15650,11149,1322,0,0.09300000000000001,0.568,35.3,17.8,12.7,1.5,113.2,0.175,2.7,36.5
818,2004,CHA,Emeka Okafor,University of Connecticut,9.0,590,18702,7256,5847,512,0,0.0,0.584,31.7,12.3,9.9,0.9,44.3,0.114,-0.4,7.5
819,2004,CHI,Ben Gordon,University of Connecticut,11.0,744,20366,11084,1851,1868,0,0.401,0.857,27.4,14.9,2.5,2.5,33.3,0.078,-1.1,4.7
820,2004,LAC,Shaun Livingston,,11.0,622,13747,4190,1590,2090,0,0.19,0.7979999999999999,22.1,6.7,2.6,3.4,23.5,0.08199999999999999,-1.5,1.9
821,2004,WAS,Devin Harris,University of Wisconsin,12.0,781,20465,9137,1785,3459,0,0.324,0.794,26.2,11.7,2.3,4.4,48.7,0.114,0.6,13.3
822,2004,ATL,Josh Childress,Stanford University,8.0,391,10432,3548,1850,609,0,0.32899999999999996,0.779,26.7,9.1,4.7,1.6,25.7,0.11800000000000001,1.3,8.6
823,2004,PHO,Luol Deng,Duke University,12.0,823,29050,12777,5100,1949,0,0.33399999999999996,0.7709999999999999,35.3,15.5,6.2,2.4,72.3,0.11900000000000001,1.1,22.7
824,2004,TOR,Rafael Araujo,Brigham Young University,3.0,139,1585,389,395,41,0,0.25,0.679,11.4,2.8,2.8,0.3,-0.4,-0.013000000000000001,-6.4,-1.8
825,2004,PHI,Andre Iguodala,University of Arizona,12.0,900,31836,12109,4829,4134,0,0.33399999999999996,0.715,35.4,13.5,5.4,4.6,82.0,0.124,3.0,40.5
826,2004,CLE,Luke Jackson,University of Oregon,4.0,73,724,252,89,58,0,0.36,0.732,9.9,3.5,1.2,0.8,0.2,0.01,-4.4,-0.4
827,2004,GSW,Andris Biedrins,,10.0,516,11146,3247,3631,467,0,0.0,0.5,21.6,6.3,7.0,0.9,30.7,0.132,1.1,8.6
828,2004,SEA,Robert Swift,,4.0,97,1500,416,376,20,0,0.0,0.61,15.5,4.3,3.9,0.2,1.7,0.054000000000000006,-4.1,-0.8
829,2004,POR,Sebastian Telfair,,10.0,564,12149,4183,898,1960,0,0.319,0.777,21.5,7.4,1.6,3.5,5.0,0.02,-3.9,-5.8
830,2004,UTA,Kris Humphries,University of Minnesota,12.0,744,13543,5093,4108,527,0,0.26899999999999996,0.696,18.2,6.8,5.5,0.7,28.6,0.10099999999999999,-1.9,0.2
831,2004,BOS,Al Jefferson,,12.0,813,24884,13556,7269,1260,0,0.129,0.7070000000000001,30.6,16.7,8.9,1.5,67.1,0.129,0.4,15.1
832,2004,UTA,Kirk Snyder,"University of Nevada, Reno",4.0,211,3540,1333,491,241,0,0.327,0.6990000000000001,16.8,6.3,2.3,1.1,4.5,0.061,-2.0,0.0
833,2004,ATL,Josh Smith,,12.0,891,28988,12994,6649,2789,0,0.285,0.632,32.5,14.6,7.5,3.1,51.0,0.085,2.1,30.0
834,2004,NOH,J.R. Smith,,12.0,839,22543,11044,2702,1850,0,0.375,0.7340000000000001,26.9,13.2,3.2,2.2,44.3,0.094,0.5,14.3
835,2004,MIA,Dorell Wright,,11.0,549,12280,4597,2093,850,0,0.365,0.8059999999999999,22.4,8.4,3.8,1.5,25.9,0.10099999999999999,0.4,7.4
